strategy,scoring,pts,rank
default,var,67,1
default,vona,71,1
nonzero_sv,var,67,1
nonzero_sv,vona,71,1
avg_hedge,var,68,1
avg_hedge,vona,68,1
three_closers,var,72,1
three_closers,vona,69,1
no_punt,var,68,1
no_punt,vona,71,1
no_punt_opp,var,66,1
no_punt_opp,vona,71,1
no_punt_stagger,var,62,3
no_punt_stagger,vona,71,1
no_punt_cap3,var,66,1
no_punt_cap3,vona,71,1
avg_anchor,var,67,1
avg_anchor,vona,71,1
closers_avg,var,72,1
closers_avg,vona,69,1
balanced,var,61,2
balanced,vona,71,1
anti_fragile,var,49,9
anti_fragile,vona,50,9
