strategy,scoring,avg_pts,med_pts,min_pts,max_pts,avg_rank,win_pct,iterations
default,var,71.4,72.0,64.0,81.0,1.16,86.0,50
default,vona,77.0,77.0,70.0,85.0,1.0,100.0,50
nonzero_sv,var,72.9,73.0,66.0,81.0,1.06,96.0,50
nonzero_sv,vona,77.0,77.0,70.0,85.0,1.0,100.0,50
two_closers,var,76.5,77.0,72.0,82.0,1.02,98.0,50
two_closers,vona,77.0,77.0,70.0,85.0,1.0,100.0,50
three_closers,var,77.5,78.0,70.0,83.0,1.0,100.0,50
three_closers,vona,77.2,77.0,70.0,85.0,1.0,100.0,50
no_punt_opp,var,77.2,77.5,70.0,84.0,1.0,100.0,50
no_punt_opp,vona,77.0,78.0,65.0,85.0,1.02,98.0,50
avg_anchor,var,71.4,72.0,64.0,81.0,1.16,86.0,50
avg_anchor,vona,77.0,77.0,70.0,85.0,1.0,100.0,50
no_punt_cap3,var,78.0,78.0,71.0,86.0,1.0,100.0,50
no_punt_cap3,vona,76.6,77.0,65.0,86.0,1.02,98.0,50
